index, time, unrolled, speed, value, x, y
4_2_68,6e-06,9,1.5e+06,0.333333,1,0
6_1_70,2e-06,1,500000,0,5,0
6_3_43,0.000213,309,1.4507e+06,0.2,0,1
6_1_18,2e-06,1,500000,0,5,0
4_1_35,2e-06,1,500000,0,3,0
5_2_71,8e-06,11,1.375e+06,0.333333,1,0
6_4_34,0.008707,10231,1.17503e+06,0.142857,4,2
5_1_7,2e-06,1,500000,0,1,0
5_4_38,0.003935,5567,1.41474e+06,0.142857,1,4
3_2_6,6e-06,7,1.16667e+06,0.333333,0,0
5_2_48,8e-06,11,1.375e+06,0.333333,0,0
5_1_36,2e-06,1,500000,0,4,0
5_4_45,0.003953,5567,1.4083e+06,0.142857,1,4
6_1_97,2e-06,1,500000,0,0,0
5_3_53,0.000134,213,1.58955e+06,0.2,3,4
3_2_73,6e-06,7,1.16667e+06,0.333333,0,0
4_3_86,7.4e-05,135,1.82432e+06,0.2,0,0
4_3_14,7.5e-05,135,1.8e+06,0.2,0,0
5_3_18,0.000133,213,1.6015e+06,0.2,3,4
6_3_79,0.000223,309,1.38565e+06,0.2,1,1
4_1_98,2e-06,1,500000,0,1,0
6_3_82,0.000211,309,1.46445e+06,0.2,3,1
6_2_14,1e-05,13,1.3e+06,0.333333,2,0
4_1_89,2e-06,1,500000,0,2,0
6_3_75,0.000212,309,1.45755e+06,0.2,0,1
6_4_61,0.008721,10231,1.17315e+06,0.142857,5,2
5_4_44,0.003986,5567,1.39664e+06,0.142857,1,4
4_2_62,6e-06,9,1.5e+06,0.333333,0,0
3_1_9,3e-06,1,333333,0,1,0
3_1_97,3e-06,1,333333,0,2,0
2_1_72,2e-06,1,500000,0,0,0
6_5_10,0.473556,456407,963787,0.111111,0,5
5_4_11,0.003971,5567,1.40191e+06,0.142857,3,4
6_4_28,0.008706,10231,1.17517e+06,0.142857,0,3
5_1_33,2e-06,1,500000,0,1,2
3_2_30,6e-06,7,1.16667e+06,0.333333,1,2
5_2_46,9e-06,11,1.22222e+06,0.333333,3,2
3_2_81,1.3e-05,7,538462,0.333333,2,2
6_4_62,0.008764,10231,1.16739e+06,0.142857,0,3
3_2_85,6e-06,7,1.16667e+06,0.333333,2,2
4_1_65,2e-06,1,500000,0,1,2
6_2_79,1e-05,13,1.3e+06,0.333333,2,2
6_3_58,0.000212,309,1.45755e+06,0.2,0,0
2_1_75,1e-06,1,1e+06,0,1,1
6_2_64,1e-05,13,1.3e+06,0.333333,3,2
2_1_45,1e-06,1,1e+06,0,0,1
6_2_81,1e-05,13,1.3e+06,0.333333,3,2
5_3_24,0.000132,213,1.61364e+06,0.2,3,1
6_2_15,1.1e-05,13,1.18182e+06,0.333333,5,2
6_1_69,2e-06,1,500000,0,1,5
5_1_72,2e-06,1,500000,0,3,2
5_4_43,0.003949,5567,1.40972e+06,0.142857,3,4
6_4_10,0.008743,10231,1.17019e+06,0.142857,0,3
5_2_94,8e-06,11,1.375e+06,0.333333,4,2
6_5_41,0.474588,456407,961691,0.111111,2,5
5_2_57,9e-06,11,1.22222e+06,0.333333,4,2
3_2_14,6e-06,7,1.16667e+06,0.333333,2,2
5_1_94,2e-06,1,500000,0,1,2
3_2_71,6e-06,7,1.16667e+06,0.333333,2,2
6_3_91,0.000216,309,1.43056e+06,0.2,1,0
5_4_22,0.003946,5567,1.4108e+06,0.142857,3,4
4_2_5,6e-06,9,1.5e+06,0.333333,3,2
6_1_23,2e-06,1,500000,0,0,5
4_1_19,2e-06,1,500000,0,2,2
5_4_98,0.003921,5567,1.41979e+06,0.142857,2,4
3_1_76,3e-06,1,333333,0,0,2
5_3_90,0.000132,213,1.61364e+06,0.2,4,1
6_3_71,0.000212,309,1.45755e+06,0.2,0,0
6_4_23,0.008743,10231,1.17019e+06,0.142857,0,3
3_2_38,6e-06,7,1.16667e+06,0.333333,2,2
2_1_58,1e-06,1,1e+06,0,1,1
4_1_79,2e-06,1,500000,0,1,2
4_2_26,6e-06,9,1.5e+06,0.333333,2,2
3_2_68,6e-06,7,1.16667e+06,0.333333,1,2
5_2_69,8e-06,11,1.375e+06,0.333333,1,2
6_4_73,0.009097,10231,1.12466e+06,0.142857,0,3
3_2_22,6e-06,7,1.16667e+06,0.333333,2,2
6_1_76,2e-06,1,500000,0,4,5
6_5_53,0.482991,456407,944960,0.111111,3,5
5_3_39,0.000131,213,1.62595e+06,0.2,1,3
5_4_77,0.003948,5567,1.41008e+06,0.142857,2,1
3_2_57,6e-06,7,1.16667e+06,0.333333,1,0
6_5_63,0.48385,456407,943282,0.111111,5,1
4_2_10,7e-06,9,1.28571e+06,0.333333,3,0
5_4_97,0.003931,5567,1.41618e+06,0.142857,3,1
5_1_66,2e-06,1,500000,0,4,1
4_1_74,2e-06,1,500000,0,2,1
4_2_42,6e-06,9,1.5e+06,0.333333,3,0
6_1_65,2e-06,1,500000,0,0,1
2_1_57,2e-06,1,500000,0,0,1
6_1_34,2e-06,1,500000,0,2,1
6_5_94,0.488356,456407,934578,0.111111,4,1
3_1_7,3e-06,1,333333,0,1,1
4_2_37,6e-06,9,1.5e+06,0.333333,3,2
5_2_19,9e-06,11,1.22222e+06,0.333333,3,4
4_2_84,6e-06,9,1.5e+06,0.333333,3,2
2_1_49,2e-06,1,500000,0,0,1
5_4_65,0.003947,5567,1.41044e+06,0.142857,4,3
6_3_97,0.000213,309,1.4507e+06,0.2,5,1
6_5_22,0.50944,456407,895899,0.111111,4,2
6_4_82,0.008731,10231,1.1718e+06,0.142857,0,5
3_2_48,6e-06,7,1.16667e+06,0.333333,1,2
6_1_42,2e-06,1,500000,0,2,5
4_1_54,2e-06,1,500000,0,1,1
6_2_72,1e-05,13,1.3e+06,0.333333,4,4
5_4_88,0.003937,5567,1.41402e+06,0.142857,4,3
6_1_81,2e-06,1,500000,0,5,5
4_3_89,7.4e-05,135,1.82432e+06,0.2,0,3
6_2_92,1e-05,13,1.3e+06,0.333333,3,4
5_2_31,9e-06,11,1.22222e+06,0.333333,4,4
3_2_63,6e-06,7,1.16667e+06,0.333333,2,2
5_3_77,0.000133,213,1.6015e+06,0.2,0,3
5_1_2,2e-06,1,500000,0,4,1
6_3_54,0.000211,309,1.46445e+06,0.2,5,1
3_1_95,3e-06,1,333333,0,1,1
5_4_42,0.003923,5567,1.41907e+06,0.142857,4,3
5_1_17,2e-06,1,500000,0,3,2
2_1_89,2e-06,1,500000,0,0,0
3_1_12,3e-06,1,333333,0,2,2
5_3_82,0.000133,213,1.6015e+06,0.2,3,0
5_4_10,0.003936,5567,1.41438e+06,0.142857,2,2
3_1_96,3e-06,1,333333,0,2,2
2_1_27,2e-06,1,500000,0,0,0
6_1_46,2e-06,1,500000,0,2,2
6_3_13,0.000214,309,1.44393e+06,0.2,1,2
4_1_76,2e-06,1,500000,0,1,2
6_2_33,1e-05,13,1.3e+06,0.333333,1,1
3_2_39,6e-06,7,1.16667e+06,0.333333,0,1
6_2_91,1e-05,13,1.3e+06,0.333333,1,1
6_2_66,1.1e-05,13,1.18182e+06,0.333333,0,1
2_1_56,1e-06,1,1e+06,0,1,0
6_1_91,2e-06,1,500000,0,0,2
4_1_73,2e-06,1,500000,0,1,2
6_2_18,1e-05,13,1.3e+06,0.333333,0,1
6_1_73,2e-06,1,500000,0,3,2
6_1_87,2e-06,1,500000,0,0,2
6_2_37,1e-05,13,1.3e+06,0.333333,1,1
4_3_1,8.7e-05,135,1.55172e+06,0.2,3,0
6_5_39,0.473763,456407,963366,0.111111,4,3
4_2_14,7e-06,9,1.28571e+06,0.333333,2,1
4_1_6,2e-06,1,500000,0,3,2
4_1_84,2e-06,1,500000,0,2,2
4_1_80,2e-06,1,500000,0,1,2
5_2_56,8e-06,11,1.375e+06,0.333333,0,1
6_3_81,0.000212,309,1.45755e+06,0.2,2,2
6_5_93,0.471928,456407,967112,0.111111,5,3
4_2_70,7e-06,9,1.28571e+06,0.333333,1,1
5_1_50,2e-06,1,500000,0,2,2
6_2_43,1e-05,13,1.3e+06,0.333333,0,1
