index, time, unrolled, speed, value, x, y
2_1_26,2e-06,1,500000,0,1,1
4_1_9,2e-06,1,500000,0,0,3
6_2_84,1e-05,13,1.3e+06,-0.333333,2,1
3_1_15,3e-06,1,333333,0,1,1
6_3_32,0.000209,309,1.47847e+06,-0.2,3,0
3_1_93,3e-06,1,333333,0,0,1
6_3_69,0.00021,309,1.47143e+06,-0.2,3,0
4_3_32,7.3e-05,135,1.84932e+06,-0.2,1,1
6_4_27,0.00847,10231,1.20791e+06,-0.142857,5,5
4_2_13,6e-06,9,1.5e+06,-0.333333,3,1
5_2_90,8e-06,11,1.375e+06,-0.333333,2,1
3_1_94,3e-06,1,333333,0,1,2
4_2_64,6e-06,9,1.5e+06,-0.333333,1,3
6_4_84,0.008463,10231,1.20891e+06,-0.142857,3,2
5_3_79,0.00013,213,1.63846e+06,-0.2,0,4
3_1_42,3e-06,1,333333,0,0,2
5_4_3,0.003806,5567,1.46269e+06,-0.142857,3,1
4_1_37,1.4e-05,1,71428.6,0,2,2
6_4_67,0.008525,10231,1.20012e+06,-0.142857,3,2
3_1_16,3e-06,1,333333,0,2,2
5_3_87,0.000132,213,1.61364e+06,-0.2,1,4
6_5_85,0.46306,456407,985633,-0.111111,2,5
4_3_83,7.5e-05,135,1.8e+06,-0.2,2,3
6_2_94,1.2e-05,13,1.08333e+06,-0.333333,4,5
5_2_62,8e-06,11,1.375e+06,-0.333333,1,3
6_3_70,0.000223,309,1.38565e+06,-0.2,4,1
6_2_44,1e-05,13,1.3e+06,-0.333333,2,5
6_3_39,0.00021,309,1.47143e+06,-0.2,4,1
6_3_68,0.000218,309,1.41743e+06,-0.2,4,1
5_3_40,0.00013,213,1.63846e+06,-0.2,2,4
5_1_91,2e-06,1,500000,0,3,2
3_1_38,3e-06,1,333333,0,0,2
3_1_91,3e-06,1,333333,0,0,2
5_4_8,0.003836,5567,1.45125e+06,-0.142857,3,1
6_1_36,2e-06,1,500000,0,5,2
6_3_90,0.000209,309,1.47847e+06,-0.2,4,1
3_2_1,6e-06,7,1.16667e+06,-0.333333,0,1
5_4_19,0.003822,5567,1.45657e+06,-0.142857,3,1
3_1_56,3e-06,1,333333,0,0,2
4_2_34,7e-06,9,1.28571e+06,-0.333333,0,3
6_2_59,1.1e-05,13,1.18182e+06,-0.333333,2,5
4_1_31,2e-06,1,500000,0,1,2
3_1_24,3e-06,1,333333,0,2,2
5_4_95,0.00383,5567,1.45352e+06,-0.142857,3,1
3_2_9,6e-06,7,1.16667e+06,-0.333333,0,1
6_4_59,0.00845,10231,1.21077e+06,-0.142857,3,2
5_3_99,0.000131,213,1.62595e+06,-0.2,1,4
6_2_17,1e-05,13,1.3e+06,-0.333333,1,5
6_1_47,2e-06,1,500000,0,5,2
2_1_83,2e-06,1,500000,0,0,1
5_1_79,2e-06,1,500000,0,0,2
3_2_10,6e-06,7,1.16667e+06,-0.333333,0,1
5_4_86,0.003864,5567,1.44073e+06,-0.142857,2,1
5_3_16,0.00013,213,1.63846e+06,-0.2,0,4
