index, time, unrolled, speed, value, x, y
5_2_36,1.2e-05,11,916667,-0.333333,2,4
2_3_40,1.2e-05,17,1.41667e+06,-0.2,0,0
6_3_5,0.000259,283,1.09266e+06,-0.2,5,3
3_4_19,0.00023,434,1.88696e+06,-0.142857,0,0
2_2_46,4e-06,3,750000,-0.333333,1,0
6_2_62,1.5e-05,13,866667,-0.333333,5,4
4_3_73,0.000119,120,1.0084e+06,-0.2,1,0
2_2_38,4e-06,3,750000,-0.333333,1,0
6_2_51,1.5e-05,12,800000,-0.333333,1,5
3_5_28,0.001745,3266,1.87163e+06,-0.111111,0,0
3_4_68,0.000266,434,1.63158e+06,-0.142857,0,0
4_5_10,0.024838,34847,1.40297e+06,-0.111111,3,2
2_2_26,4e-06,3,750000,-0.333333,1,0
2_2_2,8e-06,3,375000,-0.333333,0,0
4_4_34,0.001679,2397,1.42764e+06,-0.142857,3,2
5_2_29,1.2e-05,11,916667,-0.333333,2,4
6_3_1,0.000266,287,1.07895e+06,-0.2,3,3
4_3_21,8.7e-05,124,1.42529e+06,-0.2,1,3
5_2_98,1.2e-05,11,916667,-0.333333,4,4
3_5_76,0.001671,3266,1.95452e+06,-0.111111,0,0
5_4_90,0.011044,13167,1.19223e+06,-0.142857,2,3
4_3_25,8.2e-05,121,1.47561e+06,-0.2,0,0
3_5_97,0.001583,3274,2.06822e+06,-0.111111,0,0
2_3_5,1e-05,17,1.7e+06,-0.2,0,0
3_2_19,9e-06,6,666667,-0.333333,1,0
4_5_6,0.029268,47768,1.63209e+06,-0.111111,1,2
3_5_71,0.001393,3239,2.3252e+06,-0.111111,0,0
3_3_91,3.1e-05,60,1.93548e+06,-0.2,0,0
4_3_46,7.2e-05,125,1.73611e+06,-0.2,3,3
5_3_98,0.000144,205,1.42361e+06,-0.2,2,3
5_2_15,9e-06,10,1.11111e+06,-0.333333,0,0
4_3_84,7.3e-05,125,1.71233e+06,-0.2,3,3
